timestamp,professional_experience,programming_languages,full_time,season,data_visualization,python,mathematics,statistics,machine_learning,business_strategy,communication,fruit,degree,terminal,why,regression,databases,cloud,api
9/25/2015 12:53:50,3,"Python, Java, Matlab/Octave",Yes,Summer,4,6,9,10,7,1,6,Apples,MSDS,3,"It's the first data science class!   As an applied math major (focusing in Computational Probability & Statistics), I have a lot of data science bits and pieces.  I'm hoping this class gives me the stamp of confidence to go and use them, while caulking in all the gaps in my knowledge. I'd also really rather know ONE good method for accomplishing a task than a general framework for accomplishing MULTIPLE similar tasks.  What I mean by that is: I'd like to know how to use a single downloading & parsing package in Python well, rather than the theory behind downloading & parsing.  That way I can immediately go do stuff with them.",Yes,No,No,No
9/25/2015 14:13:51,5,"R, Visual basic (vba, vbscript-- have written thousands of lines of code), SQL (I'm an ""accidental"" dba for SQL Server 2008)",Yes,Fall,7,3,6,6,4,6,7,Apples,MBA Langone,3,"As a visual basic developer and DBA for a reporting server at Bloomingdale's, I write a lot of code. While I produce a lot of reporting and process automation, we do not currently use machine learning techniques as a basis for any decision making. In the future, I'd like to be able to implement statistical/machine learning techniques.",Yes,Yes,No,Yes
9/25/2015 17:27:31,3,"Python, R",No,Fall,2,3,5,6,1,5,8,Oranges,MBA Full-time,1,"Since coming to Stern, I've become more and more interested in the business analytics opportunities in the curriculum.  I consider taking this course to be the next step in my progression towards the business analytics specialization; I also hope it will also give me some ideas about my trajectory post-Stern. ",Yes,No,No,No
9/25/2015 14:49:19,5,"Python, Java, Matlab/Octave, SAS/SPSS",No,Summer,7,8,9,8,8,8,6,Apples,MSDS,7,"The main structure of Data Science applications. Understand the basics of Machine Learning and compute enough code to get experience. Go through many problems to realize how to solve them in efficient ways with computer science tools.",Yes,Yes,No,No
9/25/2015 22:35:30,3,"Python, C/C++, Matlab/Octave, SAS/SPSS",No,Summer,3,5,9,7,5,3,4,Apples,MSDS,6,"Because I want to learning something about the combination of data science and business work. I want to know how data science can be applied to business area, because people may know what the mechanism is but they may not know how to use them.",Yes,No,Yes,No
9/26/2015 14:05:26,6,"JavaScript, R, C#/VB.NET, VBA",Yes,Fall,8,1,8,6,1,8,9,Oranges,MBA Langone,1,I am interested in knowing more about data science and applications of data mining.,Yes,Yes,No,Yes
9/26/2015 15:12:44,1,"Python, C/C++, R, Matlab/Octave, Scala",No,Fall,7,9,7,7,7,5,6,Apples,MSDS,8,"I hope to understand the application of machine learning to business. (Most of my works involved building the tools and not using it, so this would definitely help)",Yes,Yes,No,Yes
9/26/2015 18:05:16,4,"Python, Java, R, Matlab/Octave, SAS/SPSS",No,Fall,1,8,8,8,1,1,1,Apples,MSDS,1,"It is my first class of Data Science, so I expect to learn basic concepts of Data science and Machine Learning. Also, I expect to build some basic projects of Data Science.",Yes,Yes,No,No
9/27/2015 12:55:18,1,"Python, Java, C/C++, JavaScript, Matlab/Octave",No,Fall,3,6,4,5,5,1,4,Apples,MSDS,5,Because I will to know some basic knowledge about the data science and apply data science method to solve some real-life problems.,No,Yes,No,No
9/27/2015 13:35:06,1,"Python, Java",No,Fall,8,4,5,3,3,8,8,Apples,NYU Polytechnic School of Engineering/MS in Management,4,I did my internship at TransUnion where I worked on Visual Analytics in Big-Data space. This caught my interest and hence I want to pursue my career in the field of Business Analytics and therefore I am taking this class.,No,Yes,No,No
9/27/2015 13:54:33,9,Matlab/Octave,Yes,Fall,8,3,7,5,1,6,7,Apples,MBA Langone,1,To get a deeper understanding of business analytics and to improve my Python skills in a relevant way for what I hope to do upon graduation.,Yes,Yes,No,Yes
9/27/2015 14:09:27,10+,"Java, C/C++",Yes,Summer,7,2,9,7,2,8,8,Apples,MSIS,8,Data analysis has many benefits for engineering & business.  More practice in a learning environment to better skills.,Yes,Yes,No,No
9/27/2015 22:07:52,1,"Python, C/C++, Matlab/Octave",No,Winter,5,5,10,3,1,1,6,Oranges,MSDS,1,This is a required course for data science program student. I want to learn how to apply the techniques of the data science field in the business world.,Yes,No,No,No
9/28/2015 9:50:39,2,"Python, C/C++, Fortran",No,Fall,8,9,10,10,8,1,8,Apples,Physics Ph.D,9,"I am taking this class because I have become very interested in Machine Learning and its application to ""real"" -- and by that I mean vague, poorly-defined -- problems. I'd like to gain some experience choosing the right algorithms, the right approach; I'd like to gain some intuition as to what's practical and what's not. Essentially, I'm looking for Machine Learning ""Wisdom"", particularly in the Business Strategy realm. ",Yes,No,No,Yes
9/28/2015 13:06:15,1,"Python, Java, R, Matlab/Octave",No,Summer,3,8,7,5,3,1,5,Apples,MSDS,3,"First, it's one of the requirements of MSDS program. Also, I would like to know the relation between Data Science and industry.",Yes,No,No,Yes
